time_iso8601,stars_cumulative
2023-02-02 00:00:00+00:00,707
2023-02-05 00:00:00+00:00,708
2023-02-11 00:00:00+00:00,709
2023-02-14 00:00:00+00:00,710
2023-02-16 00:00:00+00:00,711
2023-02-21 00:00:00+00:00,713
2023-02-22 00:00:00+00:00,714
2023-02-27 00:00:00+00:00,716
2023-03-01 00:00:00+00:00,717
2023-03-02 00:00:00+00:00,718
2023-03-05 00:00:00+00:00,719
2023-03-07 00:00:00+00:00,720
2023-03-23 00:00:00+00:00,721
2023-03-25 00:00:00+00:00,722
2023-04-07 00:00:00+00:00,723
2023-04-08 00:00:00+00:00,724
2023-04-10 00:00:00+00:00,726
2023-04-11 00:00:00+00:00,727
2023-04-15 00:00:00+00:00,728
2023-04-20 00:00:00+00:00,729
2023-04-21 00:00:00+00:00,730
2023-04-22 00:00:00+00:00,731
2023-04-23 00:00:00+00:00,732
2023-04-25 00:00:00+00:00,733
2023-04-26 00:00:00+00:00,734
2023-05-06 00:00:00+00:00,735
2023-05-07 00:00:00+00:00,736
2023-05-08 00:00:00+00:00,737
2023-05-10 00:00:00+00:00,738
2023-05-14 00:00:00+00:00,739
2023-05-19 00:00:00+00:00,741
2023-05-22 00:00:00+00:00,742
2023-05-25 00:00:00+00:00,743
2023-05-26 00:00:00+00:00,744
2023-05-28 00:00:00+00:00,745
2023-05-30 00:00:00+00:00,746
2023-06-01 00:00:00+00:00,747
2023-06-02 00:00:00+00:00,748
2023-06-10 00:00:00+00:00,749
2023-06-11 00:00:00+00:00,750
2023-06-15 00:00:00+00:00,752
2023-06-18 00:00:00+00:00,754
2023-06-20 00:00:00+00:00,755
2023-07-04 00:00:00+00:00,756
2023-07-05 00:00:00+00:00,758
2023-07-06 00:00:00+00:00,759
2023-07-07 00:00:00+00:00,760
2023-07-08 00:00:00+00:00,761
2023-07-09 00:00:00+00:00,762
2023-07-13 00:00:00+00:00,763
2023-07-16 00:00:00+00:00,764
2023-07-18 00:00:00+00:00,765
2023-07-24 00:00:00+00:00,766
2023-08-02 00:00:00+00:00,768
2023-08-13 00:00:00+00:00,769
2023-08-22 00:00:00+00:00,770
2023-08-23 00:00:00+00:00,771
2023-08-29 00:00:00+00:00,772
2023-09-01 00:00:00+00:00,773
2023-09-02 00:00:00+00:00,774
2023-09-05 00:00:00+00:00,775
2023-09-07 00:00:00+00:00,776
2023-09-14 00:00:00+00:00,777
2023-09-17 00:00:00+00:00,778
2023-09-21 00:00:00+00:00,779
2023-09-22 00:00:00+00:00,781
2023-09-23 00:00:00+00:00,782
2023-09-27 00:00:00+00:00,783
2023-10-01 00:00:00+00:00,784
2023-10-02 00:00:00+00:00,785
2023-10-06 00:00:00+00:00,786
2023-10-07 00:00:00+00:00,787
2023-10-17 00:00:00+00:00,789
2023-10-19 00:00:00+00:00,790
2023-10-24 00:00:00+00:00,792
2023-10-26 00:00:00+00:00,793
2023-10-29 00:00:00+00:00,794
2023-11-04 00:00:00+00:00,795
2023-11-05 00:00:00+00:00,796
2023-11-06 00:00:00+00:00,797
2023-11-10 00:00:00+00:00,799
2023-11-14 00:00:00+00:00,800
2023-11-15 00:00:00+00:00,801
2023-11-24 00:00:00+00:00,803
2023-11-27 00:00:00+00:00,804
2023-11-30 00:00:00+00:00,806
2023-12-01 00:00:00+00:00,807
2023-12-05 00:00:00+00:00,808
2023-12-06 00:00:00+00:00,810
2023-12-09 00:00:00+00:00,811
2023-12-13 00:00:00+00:00,812
2023-12-14 00:00:00+00:00,813
2023-12-28 00:00:00+00:00,814
2024-01-01 00:00:00+00:00,815
2024-01-05 00:00:00+00:00,817
2024-01-06 00:00:00+00:00,818
2024-01-07 00:00:00+00:00,819
2024-01-11 00:00:00+00:00,820
2024-01-12 00:00:00+00:00,821
2024-01-15 00:00:00+00:00,822
2024-01-21 00:00:00+00:00,824
2024-01-22 00:00:00+00:00,825
2024-01-24 00:00:00+00:00,826
2024-01-26 00:00:00+00:00,827
2024-01-29 00:00:00+00:00,828
2024-01-30 00:00:00+00:00,829
2024-01-31 00:00:00+00:00,830
2024-02-05 00:00:00+00:00,831
2024-02-12 00:00:00+00:00,832
2024-02-18 00:00:00+00:00,834
2024-02-29 00:00:00+00:00,835
2024-03-04 00:00:00+00:00,836
2024-03-05 00:00:00+00:00,838
2024-03-06 00:00:00+00:00,839
2024-03-12 00:00:00+00:00,840
2024-03-13 00:00:00+00:00,841
2024-03-16 00:00:00+00:00,842
2024-03-18 00:00:00+00:00,843
2024-03-21 00:00:00+00:00,845
2024-03-22 00:00:00+00:00,848
2024-03-25 00:00:00+00:00,849
2024-03-26 00:00:00+00:00,850
2024-03-29 00:00:00+00:00,851
2024-04-02 00:00:00+00:00,852
2024-04-03 00:00:00+00:00,853
2024-04-08 00:00:00+00:00,854
